asin,handle,filename
B08CZ6362P,amazon-essentials-women-s-cotton-spandex-bikini-brief-underwear-available-in-plu,B08CZ6362P.jpg
B0FR9D5XDL,herseas-women-s-tie-shoulder-bikini-sets-2-piece-striped-swimsuits-high-waisted-,B0FR9D5XDL.jpg
B0CKZ4ZWYG,sinophant-high-waisted-leggings-with-pockets-women-full-length-capri-buttery-sof,B0CKZ4ZWYG.jpg
B0D9V97JB7,holipick-3-piece-tankini-swimsuits-for-women-tummy-control-bathing-suits-swim-ta,B0D9V97JB7.jpg
B0C1BJ6LVQ,campsnail-biker-shorts-women-with-pockets-3-5-8-high-waisted-workout-spandex-tum,B0C1BJ6LVQ.jpg
B087X7JS16,magcomsen-women-s-long-sleeve-shirts-upf-50-sun-protection-shirts-for-hiking-fis,B087X7JS16.jpg
B0BZYNQ42M,lentta-womens-athletic-sleeveless-mini-dress-with-built-in-shorts-v-neck-spaghet,B0BZYNQ42M.jpg
B09SGBR8YH,eomenie-women-s-one-piece-swimsuits-tummy-control-cutout-high-waisted-bathing-su,B09SGBR8YH.jpg
B0FC2LHG2M,danysu-v-neck-cotton-tank-tops-with-built-in-shelf-bra-sleeveless-racerback-fitt,B0FC2LHG2M.jpg
B08RN62C4C,wiholl-womens-summer-t-shirts-short-sleeve-v-neck-dolman-tops-with-side-shirring,B08RN62C4C.jpg
B0CPM586T9,boho-floral-racerback-tank-tops-for-women-american-flag-shirt-summer-sleeveless-,B0CPM586T9.jpg
B07YNY69X6,shapermint-shapewear-for-women-high-waisted-shapewear-tummy-control-shorts-thigh,B07YNY69X6.jpg
B0BS3WP1R9,eomenie-one-piece-swimdress-swimsuits-for-women-tummy-control-swim-dresses-skirt,B0BS3WP1R9.jpg
B0DK8Z26D6,blooming-jelly-women-one-piece-swim-dress-tummy-control-swimsuits-slimming-mesh-,B0DK8Z26D6.jpg
B0FG25KJLY,yeoreo-ease-workout-leggings-womens-no-front-seam-straight-leggings-29-31-5-33-3,B0FG25KJLY.jpg
B0DS23W6MC,trendy-queen-women-s-strapless-bandeau-crop-top,B0DS23W6MC.jpg
B0D35YXQ6L,danysu-v-neck-racer-back-tank-top-for-women-padded-ribbed-long-tank-fitted-basic,B0D35YXQ6L.jpg
B0FCBMV254,women-s-t-shirts-v-neck-dragonfly-tee-cute-summer-graphic-shirts-vintage-boho-fl,B0FCBMV254.jpg
B08QCV3HKZ,ekouaer-pajama-set-for-women-2-piece-lounge-set-short-sleeve-tops-and-shorts-sof,B08QCV3HKZ.jpg
B0DLVR7PVB,anrabess-womens-wide-leg-palazzo-pants-with-pockets-lightweight-breathable-high-,B0DLVR7PVB.jpg
B0DGV8TM17,hanes-women-s-pajamas-set-comfywear-pajamas-for-women-set-originals-supertsoft-l,B0DGV8TM17.jpg
B0007YR8ZE,playtex-women-s-wireless-bra-18-hour-plus-size-bras-available-full-coverage-smoo,B0007YR8ZE.jpg
B0DSZYTYTT,cicy-bell-womens-summer-v-neck-t-shirts-casual-short-sleeve-flowy-tops-cute-loos,B0DSZYTYTT.jpg
B086KSDTQ4,hanes-mens-underwear-boxer-briefs-pack-cool-breathable-cotton-moisture-wicking-u,B086KSDTQ4.jpg
B07JCS8NRC,gildan-men-s-crew-t-shirts-multipack-style-g1100,B07JCS8NRC.jpg
B00D1ARZMC,hanes-men-s-undershirt-packs-stay-tucked-soft-cotton-undershirts-best-undershirt,B00D1ARZMC.jpg
B078VZ5QBW,lee-men-s-extreme-motion-crossroad-cargo-short,B078VZ5QBW.jpg
B0BV241H3F,coofandy-men-s-linen-shirts-short-sleeve-casual-shirts-button-down-shirt-for-men,B0BV241H3F.jpg
B075ZZ7XKD,gildan-adult-ultra-cotton-t-shirt-style-g2000-multipack,B075ZZ7XKD.jpg
B08JGBB9N1,balennz-athletic-shorts-for-men-with-pockets-and-elastic-waistband-quick-dry-act,B08JGBB9N1.jpg
B07M989JLF,comfort-colors-adult-heavyweight-short-sleeve-tee-style-g1717-g1745-multipack,B07M989JLF.jpg
B0C2JMJKSL,roxun-arm-sleeves-cooling-uv-sun-protection-sports-compression-for-men-women,B0C2JMJKSL.jpg
B00W80Z87K,fruit-of-the-loom-men-s-sleeveless-tag-free-moisture-wicking-tank-a-shirt,B00W80Z87K.jpg
B00W66LQFO,fruit-of-the-loom-men-s-crew-tee-undershirts-moisture-wicking-tag-free-also-avai,B00W66LQFO.jpg
B0BLN6NFBY,maamgic-2-in-1-mens-swim-trunks-7-inch-swim-shorts-swim-suits-board-shorts,B0BLN6NFBY.jpg
B0BWNHZCCR,ny-threads-men-s-athletic-shorts-quick-dry-loose-fit-lightweight-running-workout,B0BWNHZCCR.jpg
B00JUM4CT4,hanes-men-s-zip-up-hoodie-ecosmart-fleece-full-zip-hoodie-for-men-hooded-sweatsh,B00JUM4CT4.jpg
B0BFDVJ414,northyard-men-s-athletic-running-shorts-gym-workout-7-9-5-quick-dry-lightweight-,B0BFDVJ414.jpg
B01GH5GSLG,under-armour-men-s-tech-golf-polo,B01GH5GSLG.jpg
B0828MYG9M,gildan-adult-heavy-cotton-t-shirt-style-g5000,B0828MYG9M.jpg
B088WF1PRW,bamboo-cool-men-s-ultra-breathable-underwear-no-riding-up-boxer-briefs-with-comf,B088WF1PRW.jpg
B0785VXRX2,under-armour-men-s-tech-2-0-short-sleeve-t-shirt,B0785VXRX2.jpg
